127.0.0.1 - - [20/Sep/2024:14:48:02 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Sep/2024:14:48:03 +0900] "GET /MustHaveJSP/HelloJSP.jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [20/Sep/2024:14:48:03 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:37:03 +0900] "GET /MustHaveJSP/01DirectiveScript/Import.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:43:57 +0900] "GET /MustHaveJSP/01DirectiveScript/Import.jsp HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:44:42 +0900] "GET /MustHaveJSP/01DirectiveScript/Import.jsp HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:50:07 +0900] "GET /MustHaveJSP/01DirectiveScript/Error500.jsp HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:53:31 +0900] "GET /MustHaveJSP/01DirectiveScript/Error500.jsp?Error500.jsp?age=10 HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:54:08 +0900] "GET /MustHaveJSP/01DirectiveScript/Error500.jsp?age=10 HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:57:07 +0900] "GET /MustHaveJSP/01DirectiveScript/ErrorTryCatch.jsp HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [20/Sep/2024:16:19:04 +0900] "GET /MustHaveJSP/01DirectiveScript/ErrorPage.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [20/Sep/2024:16:19:51 +0900] "GET /MustHaveJSP/01DirectiveScript/ErrorPage.jsp HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [20/Sep/2024:16:20:19 +0900] "GET /MustHaveJSP/01DirectiveScript/ErrorPage.jsp HTTP/1.1" 500 339
0:0:0:0:0:0:0:1 - - [20/Sep/2024:16:32:09 +0900] "GET /MustHaveJSP/01DirectiveScript/IncludeFile.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [20/Sep/2024:16:32:17 +0900] "GET /MustHaveJSP/01DirectiveScript/IncludeMain.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [20/Sep/2024:16:32:29 +0900] "GET /MustHaveJSP/01DirectiveScript/IncludeMain.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [20/Sep/2024:16:34:18 +0900] "GET /MustHaveJSP/01DirectiveScript/IncludeMain.jsp HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [20/Sep/2024:16:35:18 +0900] "GET /MustHaveJSP/01DirectiveScript/ErrorPage.jsp HTTP/1.1" 500 339
0:0:0:0:0:0:0:1 - - [20/Sep/2024:16:51:12 +0900] "GET /MustHaveJSP/01DirectiveScript/ScriptElements.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [20/Sep/2024:17:23:44 +0900] "GET /MustHaveJSP/99Study/study01.jsp HTTP/1.1" 500 2572
0:0:0:0:0:0:0:1 - - [20/Sep/2024:17:23:55 +0900] "GET /MustHaveJSP/99Study/study01.jsp?year=2000 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [20/Sep/2024:17:24:09 +0900] "GET /MustHaveJSP/99Study/study01.jsp?year=2000 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [20/Sep/2024:17:29:34 +0900] "GET /MustHaveJSP/99Study/study01.jsp?year=2000 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [20/Sep/2024:17:35:44 +0900] "GET /MustHaveJSP/99Study/study01.jsp?year=2000 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [20/Sep/2024:17:38:35 +0900] "GET /MustHaveJSP/99Study/study01.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [20/Sep/2024:17:38:57 +0900] "GET /MustHaveJSP/99Study/study01.jsp?year=2000 HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [20/Sep/2024:17:39:26 +0900] "GET /MustHaveJSP/99Study/study01.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [20/Sep/2024:17:39:34 +0900] "GET /MustHaveJSP/99Study/study01.jsp?year=2000 HTTP/1.1" 200 209
